participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
5g7ydtcz,10,s4_n,0.0,NO_n,"[0, 0, 0]",Non-Neutral,-1.0,1.0
5qckfwnq,1,s2_p,1.0,AC_p,"1, 0, 0",Non-Neutral,0.0,0.0
5qckfwnq,2,s2_p,1.0,AC_p,"1, 1, 1",Non-Neutral,0.0,0.0
5qckfwnq,3,s2_p,1.0,AC_p,"1, -1, 0",Non-Neutral,0.0,0.0
5qckfwnq,4,s2_p,1.0,AC_p,"-1, -1, -1",Non-Neutral,0.0,0.0
5qckfwnq,5,s2_p,1.0,AC_p,"0, 0, 0",Non-Neutral,0.0,0.0
5qckfwnq,6,s2_p,1.0,AC_p,"-1, -1, 1",Non-Neutral,0.0,0.0
5qckfwnq,7,s2_p,1.0,AC_p,"-1, -1, 0",Non-Neutral,0.0,0.0
5qckfwnq,8,s2_p,1.0,AC_p,"-1, 0, 0",Non-Neutral,0.0,0.0
5qckfwnq,9,s2_p,1.0,AC_p,"1, 0, 1",Non-Neutral,0.0,0.0
5qckfwnq,10,s2_p,1.0,AC_p,"1, 1, -1",Non-Neutral,0.0,0.0
5vypxuls,1,s2_p,1.0,NO_p,"-1, 1, 1",Neutral,1.0,1.0
5vypxuls,2,s2_p,0.0,NO_p,"0, 0, -1",Neutral,-1.0,1.0
5vypxuls,3,s2_p,0.0,NO_p,"-1, 1, 0",Neutral,0.0,0.0
5vypxuls,4,s2_p,0.0,NO_p,"0, 0, 0",Neutral,0.0,0.0
5vypxuls,5,s2_p,0.0,NO_p,"1, 1, 1",Neutral,0.0,0.0
5vypxuls,6,s2_p,0.0,NO_p,"0, 1, 1",Neutral,0.0,0.0
5vypxuls,7,s2_p,0.0,NO_p,"1, 0, 0",Neutral,0.0,0.0
5vypxuls,8,s2_p,0.0,NO_p,"-1, 0, -1",Neutral,0.0,0.0
5vypxuls,9,s2_p,0.0,NO_p,"-1, -1, -1",Neutral,0.0,0.0
5vypxuls,10,s2_p,0.0,NO_p,"-1, -1, 1",Neutral,0.0,0.0
